x_val,future
"[161  90 103  51 159  90  90  51 120  71  71 161 103 159 161  90 103  51
 159  90  90  51 120  71  71 161 103 140 159  90  51  90]",[120 112  71 140 159  90  51  90]
"[170  22  16 170 172  97 126 172  25 172 126 172   2  44  99  25  99  46
 113  50  46  16  46  50  46  57 169  99 169  84  99  76]",[162  99  76 162 134  76  46  99]
"[160 177 160  84 160  84  17  84  92  84  87  84  57 177 180  45 180  14
 180 177 180 177 180 177 180 177 180 177 117 177 180 180]",[177 180  84 180  84 180  84 176]
"[180 135 139 180 168 113 180  14 142 180 168 168 180  97 176 180  45  86
 135 176   2 180 135 180  93 135 180  34  34  44 180  91]",[ 34 136  34 136  43  33  98  14]
"[ 99 145  92  76 170  25  99 170 172  76 170  56 170  46 113  50 170  89
  46  46  50 170  89  46  76  47 170 171  92  22  22 170]",[ 92  76  22 180  52 169  92  76]
"[ 66  76  76  76 171  76 139  66 142 142  66 139 139  66  21 142 150  21
  21  21  38 150  21  21  21  56  21 168 139 139 168 168]",[  2 177  67  67 168 168 139 139]
"[ 50 169 100  22  46  50 169 100  22  46  50  52 155 172  46  50 169 100
  22   2 126 169 105  76 172  76 172  44 170  46  50 170]",[ 22 170  22 170 113  50  76  99]
"[145  11 145  11 145 171 145  11 162 107  11 126  52 126  11  56   4 145
  52  22  52 145  38 106 145  52 162  52 145  52 145  52]",[162  52 126   2 106 126  52 162]
"[143  99  97  99  67  97  76  99  67  97  82 123  56  42  82 123  34 123
  68 153  42  68 153 123 125 153  42 153 123 153  42  20]",[ 20  42  20 123  20  42  20 123]
"[ 39  34 180 161 165  28  39  34  28 116 117 160 103  30 160 161 117 160
  33   3 160  56  42 127 123  68 125 123 153 153 123 125]",[123  42  93  56 123 153  92  56]
"[ 37 171 160 126 180  99  97 160 117 169  37 171 160 126 180  99  97 160
 117 135 176 135 176 135 176 135 176 135 176 135 176  12]",[ 76 171 126  99 126 171  76   2]
"[170 171 103  76  21 170 171   8  76  38 145 169  76  38  67 145 169  67
  76  38  67 145 169  82  76  38 145 169 123  76  21 170]",[ 76  21 170 171  80  76  21 170]
"[102  80  53 142  56  46 144  50  47 145  15  52  28 169  37 171 160 172
  17 171 160 172  17  40  40   5  60  46  28  56  17 162]",[172  28 169  17  52  50 172 145]
"[ 34  34   8   8  44 161  91   8  91  92  48 138  34  21  30  39 138  26
 138   4  30 138  51  21 123  30 136  39  30 131  16  30]",[ 97 128 159  51 128  33 135 115]
"[ 22 169 109  37  56 169  34  37  38 169 136  37 168 169 147   8 147   8
 147   8  26  58  26  58  26  58 115 159 115 159 115 159]",[ 39 147  39 147  39   0 103   0]
"[145  56  17 145  42 145  56  37 145  42 145  37  46 145  56  42 162 145
  22  37 145  42 145 153  28 145  42 145 153  28 145  42]",[145 106  28  50  11 106  50   4]
"[117  24  54  67 117  24  54  67 117   3 165  67 113   3 124  67  97   3
 123  67  47   3 180  67  15   3  89  67  28   3  37  67]",[  3 103   0 103   0 103   0 103]
"[132  49 132 143 132 159 159 112 112  49 136 112 112 132  12 146 132 146
 132 159 159 112 112  49 136 112 112 132  12  71  18  71]",[ 68 132 103 132  94 132 103 132]
"[ 80 172 102  80 142  81 102 142 122   5  80 122  38  10 142  38  46 144
 172  46 122  80  59  80  46  50 122  52  80 172  59  46]",[122  80 172 102  80 142  81  80]
"[147 151 147 151  41 151  77  20  19 151 151 151  61 151  61  92  61 147
  61 147  61 147 151 147 133   5 101  55 151 151  97 151]",[151  61 151  61 151  61  61 151]
"[169  64 161  52 129 106  52 142  28  22 136 169  22 131 161  22 144 106
 162 102  47 162  55  37 162 142  37 169 135  99 169  21]",[171 129  37 171 130  58 169 135]
"[117 162 160 139  99  88  62 127 127  62 123  56  62   7 159 126 172  80
 159 126 172  80 115 103 171 146  52 171  62 127 123  56]",[  7 152 126 165 172 152 126 165]
"[ 60 129  55 129  55  55  90  40 120  55  90  40  58  55  90  40  58  60
 161  40 132  40 132  40 132  40 132  36  49  36  49  36]",[144  60 144  60 144  60 144  60]
"[131 131  56  28  88  88  21 160 122  17 173 173 139 132  72  72  80  29
  10  10 102 157  80 131 173 173 139 148 112 112 139 148]",[112 112 112 112 139  30  80 131]
"[162 171 126  98  78  68  27 134 134 134  84  78 178  45 102 117 110 102
 139 139  27 102 139   2   2 139   2 162 162  27   2 162]",[171 162 171 126  98  78 102 117]
"[133  97 156  97 156  21  43  97  43 139 174 142  21  89   2 174  56  43
 117  43   3 165   3  76 170 113  56   2  16  56  30 127]",[ 30  34  43  57  43 176  43  57]
"[ 86  24  55  40  79  58 121  58  85  58  85  58  85  58 121  58  85  58
  86  58 159  85  90 121  51   8 177   8  79  58  37  79]",[121  86  86  58  85  58 121  24]
"[123  92  28  92 123  92  52  93  92 123  92  52  28  92 123  92  93  92
  52 123  92 170  28  92 145 123  92 170  44  92  47  92]",[92 47 92 44 92 47 92 22]
"[ 28  11  12  52 109  52   2  12  52  56  28  11 162 126  52 171  28  11
 126  52  28  11 126  52  28  11  15 145  11 180 160  11]",[145 171 113 160  11 145 171 160]
"[160 111 141 160 127 160 141 136  64 160 136 118 160  14 136 111 160 165
  17  29 131  94  17 136 136   1  17 118 131  14  17 117]",[ 31 177 176 160 135 177  43 160]
"[ 92  50 159  97  99  17  99  97  50  92  58  50   8  97  99  17  99  46
  97  50  92  50  76  97  99  17  99  97  50  92  46  50]",[97 99 17 99 65 97 65 50]
"[ 50 170 168  21  92  50 170  21  46 160  50 170  46   2  37 126 170   2
  76  17 126 170  76  21  92  50 170 168  21  92  50 170]",[ 59  92  50 170  59 104  17  99]
"[176  43 176  43 135 176 135 176 135 176  66   8  66   8  45  58  33 177
 176 125 157 125 157 125 157 150 157 150 157 150 157 125]",[125 116 173 159 173 161 150 116]
"[ 42 145  92  21 145  38  42  46 145  56  92 145  42 145  56  17 145  42
 145  56  37 145  42 145  37  46 145  56  42 162 145  22]",[145  42 145 153  28 145  42 145]
"[171  43 126 180  57 126 180 178 126  57 180 126 180 126 180 177 180 117
 171 135 180  22 113 180  14 169 180  22  22 180  97 176]",[ 45  86 135 176 126 180 135 180]
"[ 97 126 159  25 159 126  80  33  44  99  25  99 120 113  50 120  16 120
  50  58  18  42 142 154 134 168  42  67 168  92 174  80]",[142  37  80  17 174  69 113  92]
"[ 56 171  15 145 171 117 162 169  18 145 169  15  22 180  38 123  22  38
  97 142   2 124 142   2  28 122 172  11  38 172 124   2]",[ 97 122 171 123  38 145 117  56]
"[ 56  22 145 178  46  90   2 162 171 126  27 176  18 139  15 176  18 139
  15 176  18 139  15 176  18 139  15 176  18 139  15 176]",[139  15 158  44 139  93 158 100]
"[ 88  38 143 122 142  80  49 102  82  46 144  38 122 142  88  80 102  88
  82 143  59 164  35  49 154  73  80 144 102  82  59  88]",[ 35  88 154 143  73  49  59 120]
"[ 10  69  10  10  85 144  85  52  85 172  46 156 122  80  99  59  33 156
 120 156 120 134 116  81 116  81 120  81 120 144 159  50]",[144 161 144 161  33  71 120  71]
"[  8 151 174  91 130  98 156  98 156 151   8   8  89 101 101  24  24  24
  24  43  43 174 174 174 174  94  94  43  43  43  43 125]",[150 157  94  94  43  43  43  43]
"[ 47  49  36  49  53 145  36 169  56 162  53 169 145   5 144  88  46 144
 122 102  80  88 122  46  56 136 172 122  38  29  56 172]",[129 145 171  38 148  46 162 172]
"[124 113 124 148  18  93 132 117 165 146 113 124  71 113 124 113 124 123
  47 180  15  28 160 172  17 162  11  56  42  46  50   2]",[ 38 145   2 126  38 145 172 144]
"[ 79  69  79  69 156  69 145  69 169  76  29  38 142  69  67  26  69  10
  69  10  10  85 144  85  52  85 172  46 156 122  80  99]",[ 33 156 120 156 120 134 116  81]
"[112 132 145  29  29  15 132 160  29  17 165  29 152 165  29  15 132 160
  29  28  88 123 157  15  88  47 155  88 152 155  93  52]",[127 129 181 129  28 131  92 129]
"[105  91  44 165  97  67  91 104 104  59 154 154  67  91 104 104  67 133
 164 164  67 110 110  67  59  59  88 110 110  88  59  59]",[ 16 110 110  16  16  59  59  25]
"[142 123 122  38  38 152  46  56 142  15 122  38 102 123  80 142 142  42
 122  38 102  17  80 142  82 145 102  80  82  17 102  80]",[169 102  80  82 145 102  80   5]
"[ 70  47 123  47 124 113 124  79 100  79 100 165  79 124 123  40  47  28
  63  15  63  49  63  49  63 159  63 159  63  58 161  36]",[144  60 144  60 144  60  88  88]
"[179  52 154  78 169 142  78 169 142  78 169  80 135 169 119 135 154 169
  73 135 169 137  55 169 101  55  80 169 168  55 169  86]",[168  86  50 168  86 126 168  86]
"[ 42 165  17  42 165 172 165  42  42 165 172  42 172  37  56 172  42 165
 172 165  42 172 165  56 165 172 145 165  56 145  56  37]",[ 56 145  17  56 145  56 169  38]
"[ 30  42 170 139  30  52 139  30 170 139  34  28 126  82  34  92  82  34
  99  82 126  30 160  42 139  30  99 139  30  42 139   3]",[160 139   3 139   3 145 139 150]
"[ 98 126  33  10  96  52  10  96  10 180  68  84 180 103 103 170 150 170
 150  52 170 126 170 126 150   4 177 157  30 157  30  39]",[161 123 103   8 157  30 116  39]
"[ 13 180 177 117 177 180 177 180  32 180 150 180 150 160 150 160 150 160
 128 123 138 160  66 160 177 160  84 160  84  17  84  92]",[ 87  84  57 177 180  45 180  14]
"[121  58  85  58  86  58 159  85  90 121  51   8 177   8  79  58  37  79
  65 121  86  86  58  85  58 121  24  46   2  21 170  87]",[  6  16   2  46  98 142 126 158]
"[160 122  17 173 173 139 132  72  72  80  29  10  10 102 157  80 131 173
 173 139 148 112 112 139 148 112 112 112 112 112  10  29]",[145  38 145 145 145  38  92 145]
"[ 10  17  10 143  10  47  17   5 144   5  47   5   5  17   5 144   5  70
 124  11  70 144  70 124  70  70  11 144 144  70   5  47]",[  5 144   5  47   5   5  17   5]
"[ 22  56  56   8  21  22  56 171  56 169  56 171   8   2 171  76 171  76
 171  76 171   8  76  52  22  52  22  52  22  52   8  22]",[171 170 171 170 171 170   8 171]
"[  5  79 144   5 173 165  17   7 143   7 165  81  81  17  81   5 143  10
   5  47  28   5  60 165  81  81  37  81   5  29  10   5]",[ 28   5  60 165  81  81  37  81]
"[ 37  60  28  17  50 129  89  17  50 136  15  17  42  72 145  50  11  10
 172  17  29  13   7 144  88  80 144 102  80  88 122  46]",[ 46  88  46  56 143 162  56  53]
"[ 52 165  50  47  17  28 172  97 100  50  47  99  17 172  97  50  47  99
  17 169 124  50  47  11  37 169 124  50  47  11  37   5]",[79 79 41 41 79 79 79 79]
"[ 76  22  97 126 170  89 172  76 170 172  89  46   2  44 172  76  89 122
 142 172  76  89   2  46  47  50 170  89 172  22  50 170]",[ 76  56  15 169  98  34  80  22]
"[120  73 104  59 120  80  21 120  80  46 120  25  80  40 120 102  91 120
  67  40  33 102  88  80 143  71 142 106 122 143  38  12]",[  2 132  58  38  87 159  46 136]
"[ 67  73 151  95 154 151  95  67 151  95  73 151  67  67  97  95  73  61
  67  67  61  95  73  61  67 104  61  67  61  95  67 151]",[137 133  67  67 101  89  95 137]
"[ 58  77   8  79   8  79  90  65  51  61 169 124 100  50  47  11  37 169
 124  50  47  11  37  52 165  50  47  17  28 172  97 100]",[ 47  99  17 172  97  50  47  99]
"[ 53 116  49 143  53  49 116 143  49  53 116 116 136  25 120  60  87 120
  25 120  55  90  87  65  55  90  90  87 143  51  24 156]",[143  51  51 159  49  91 156 159]
"[ 98  98  98 178 134 178 134  83  83  83  83  83  83  83  83  83  83  83
  83  83  83  83  83  19  19  19  19  49 156 146 132  56]",[165  15  17  15  42  46  56 162]
"[ 16  46  50  46  39  16  46 126   2 153 161   2  22  33 168 107  39 168
 126   2  39 153   2 126   2 159  36   2 126 103   2  43]",[  2  76  51  67 176 161  67  67]
"[142 169  21 170   2 126  46  50  56  42  22  92 169  37 145  15  42 123
 145  15 170  89  50  47 170  89  50  47  92 113  50  47]",[ 44 169 100 172 165  22 113  76]
"[135 135  54 105 135  57 117  14 165  14  14  14  14 175  48  14  57 100
 135 117 103 103 103  43  43  43 103 103 103  43  43  43]",[103 103  29  29  29 103 103 103]
"[ 71 161 103 159 161  90 103  51 159  90  90  51 120  71  71 161 103 159
 161  90 103  51 159  90  90  51 120  71  71 161 103 140]",[ 90  51  90  51 120 112  71 140]
"[ 82  92   4   4   4   4   4   4   5   5   5   5   5   5  32 177 122 126
  21  42   2  99  21  42   2  99  56  92  76 160  56  92]",[160  56  92   2  99  21  42 122]
"[160 117  99  97 126 180  42 123  99  97  92 113 160 117  37 100  89  44
 180  57 123 127  97 105 113  48 117  54 100 175 117  54]",[ 48  97 105 123 127 180  57  89]
"[169   2  46 126   2   2 126 139 142  12 139 110  14   2 142  78   2   2
  78 139 142  12 139 122 145  52  22  42  52  52  42 162]",[126 162 162 171  38   2 145  38]
"[ 93 171  54  14 117  52 152  14 165 171  54 160 177  99 126 160 170 127
  89 123 160  42  89  52 152  28 165  17  42  28  40 129]",[116 150 116  28  93  47 123 124]
"[144  60  60 161 144 159  60 161 144 120  60 161 144 120  49 116 144  90
 144 106 144 106 144 106 158 132 158 132 158 132  29  49]",[ 49  29  49  29  49 172 144  49]
"[ 92 123  93 123  92 123 162  93 123  22  28 123 162  93 180  11 180   2
  93 180  11 180 171  93 123  89 123 162  93 123 160 123]",[ 93 123  92 123 161  93 123  92]
"[ 89  21  21  92 168 168 168  69  87  69  87  69 107  41  21  69 110  59
  21  25  59  67 136  76  25  82  67  76 174 168  80 156]",[ 99 156  67  67  67 168  92 168]
"[145  42 145 120  89 170   8  50 170  58  89 170 159  50 170  39  89 170
  50 170  58  89 169 126 169   8  89 170  50 170  33  89]",[ 99 126 120  89  50  92  50  51]
"[ 56 171 170 170  89 171 170  42  42 123 170  42 160  42  83 145  42  92
  92  42  92  37  42  83 145  42  92  92  83  42  92  37]",[ 83 145  42  92  92  42  92  37]
"[ 39 147  39 147  39   0 103   0 103   0 103  79  58  79  58  79  58  61
  58  61  58  61  58  58  58  58  37  90 169  50 120  11]",[ 58  46 162   8 169 156  71 145]
"[ 50  22  21  46  92 170  21  99   2  50 170  21  37  76  17 170  21  92
  46 170 168  21  50  22  67  92 170  21 126  76  80 126]",[126 172 168  92 126  21  50  22]
"[ 76 172 126 113 172  46  22  50 113  22  76 172 170  97 172  76 169 145
  97 169  76  89 172 170 172  21  17  76 170  76  38  99]",[ 76 169  76 142  92  76 169  76]
"[ 89  87  44 113  89 179  97  44  89  69 113  89  89  89  89  89  16  47
  44  89  16  44  47  89  25  44  97  89  16  44  47  89]",[180  44  89 151   6  94 151  94]
"[ 99 126 180 160  99 126 180 160  99 126 180 160 103  12  68 180 160  34
  11 126  12 180 160  11 126 180 160  11 126  42 126  12]",[126  78 180 160 176  11 126  33]
"[ 89 160  88 165 123  28  88 125 123  89 160  47 162 160 172  28 171  89
 172  28 162 157  56  93 123  17  56  93 124 160  56  93]",[ 28  46  18 124 160  18 124 160]
"[156  24 156  51  24 156  24  51  21 170  21  44 139  89 171  44 139 117
  67 160  76 117  67  97 142  99 169  97 142 100 168  37]",[100 168 113  21  92 170 113  21]
"[136 102 129  80 139 122 132  38  46  56  29 162 172 171 136  52 145 136
  50 129  52 145  50  15  42  11 169  37 172  17 169  37]",[ 15  42 123  17 165  37 100  17]
"[ 46 177 176  76   2  46  24 135  46  51   2  66   8 121  58  87 103 135
  58  79  58 121  24   2  46 177 176   2  46  24 135  56]",[ 14 171 123  21 176 180 157  89]
"[145  11 171 145 160 171  11 162 171  15  56 172  38 145  56 172  38  42
  80  38  38 162 139 171  38 162 139 145 102 139  38  56]",[162  38  56  80 172  82  80  80]
"[ 62  62  62  62 136  49  96 146 148 132  29  88 173 131 173 131 173 131
 173 131  71  13 120 116  79  90  79  79  79  79  79  79]",[79  5  5  5  5 79 79 79]
"[ 37  37  37 130  37  37  37   2 171  46  37 169  37  37  37  37  37  37
  37  37  40  37  37  37  91 129  37  37  37 129 129  65]",[65 24 86 55 24 55 86 24]
"[ 50  47 170  44 169 100 172 165  22 113  76  97  46  47   2 180  21  89
 142  37  21  89   2 180  46  47  56 123  22 113 169 100]",[ 18  42 127 145  18 169 100 145]
"[160 180  99  32 117 180 160 180  99 125   2 117  89 160  89  42  56 125
 117  89  21 160  89 122  42  14 139  14  54 117 180 117]",[  3 139   3  54 117 180 117 160]
"[154  53  73  36 154  35  53 164  73  88 144  35  73  88  35  59 144  82
 102  55  59 154  79  35 164  79  59  82  55 102  80 144]",[122  80 144 122  80  88 122  38]
"[ 28  47  46  17  76  50 100  47  37  47  22  92  99  76  18  97  15  97
  22  37  99  76  44  97  17  97 172  89  92  56 105  97]",[ 37  22  97 172  15 169  17 170]
"[ 37 116  97  89 160  90  37 160  89  51  97  15  37  28  37  51  15  39
  97 180 159  28 159  89  28 159 180 159 113 180  39  28]",[ 47  46  89  21  99   2 170  21]
"[165  89 135 135 135 165 128 128  89 128 135 128 151  44  89 151 135 151
  44 151 151  89 151  20 135 151 113  89 147  69 147 113]",[147  89 147  69 147  77 100  37]
"[101  31  76  76  56  76  89 111  66  76  89  56  76  66  76  89 162 162
  66  46  76  89 162  76  13 169  89  97  76  61 169  97]",[ 61  22  97 171  61 169 170 123]
"[ 61 151  61 151  61 151  61  61 151 151 151  61 133  61  89  61 151  61
 151  61 151 151 151 133 151 101 151 151 151 151  97 151]",[151  61  76  61  67  21  61  67]
"[ 96 146  96 146 132  49  76 172 145  99 172  97  76 165  38  18  80 105
  67 152 156  49 156  49 156  49 128  25 128  25 128  25]",[ 16  56  22 170  42  22 123  56]
"[ 42  17 144  17  96 160 112  11  50  52  96 145  50  11 173  42  10  17
  10  37  42  52  10 145  42  37  60  28  17  50 129  89]",[ 50 136  15  17  42  72 145  50]
"[111  90  90 132  68 163  90 132  68 163  71  90 106  33   1 163 161  90
 106 103   1 163  71 141 132 146  71 141 132 146  71 141]",[146  71 141 132 146  71 140 141]
"[129  38  46 142 122  38 168 153 139 122  70 181  48 181 155 127 181  18
 155 127 100  93  18  11 155  92 127  11 155  50  93  42]",[ 11 155 145 100  50  93  42  18]
"[ 42 126  11 126  12 180 160  78  11 126 176 180 160  11  33 160  11  27
 126  68 180 160  34  11 126  12 180 160  11 126 180 160]",[126 131  52 107  12  52 131 106]
"[124  42 123 126 180 170  89 169  37 171 160  22  92 162  11  56  42   2
 126  21 170 142 169 139 171 168  22 102 162  82  56 110]",[164  38  59  46  82  56 102 162]
"[180 103 117 123 180  39 100 123 180 116 100 113 180  90 117 124 180  39
 123  15  92 103  58 180  92  42  58 180  92  42 103 180]",[ 58  42   8 180  92  58  42 103]
"[ 37  51 100 113  97  51  37  66 117  97  89 160 117  97  89   8 160 103
 117  97  89 103 160   8 117  97  89   8 160 116 117 123]",[116 160 103 117 123  89 103 160]
"[ 52 126  52 162  52 126   2 106 126  52 162  52 126  52 126  52 162  52
 126   2 124 160 171 170 162 171 170  22  89 170  42 171]",[ 42  56 153  42  52  22  52  42]
"[151 151  97  61  61  73  61 137  61  61  95 151 133  97 133 164 104  73
  67 104  80 133  67  21  80  76  21 172  76 170 172  99]",[172  76  99 170 172 151  76  99]
"[ 92   2  38  21  38  21 122  47  21 122 142  92 122 142 139 142 139 142
 123 122 142 139  78 142 139 168 139 168 139  97 142 139]",[176 139 168  67 102  67  59  97]
"[ 49  17 165  17 165  17 165  37 100  17 165  83  39  83  39  83  39 172
  17 172  17 172  17 169  37 172  17 147  16 147  16 147]",[ 87  87  87  87  87  87 136 136]
"[165 127 144 152 155 152 144 155 165 155  29 152 155  40 152  88 155 165
 155  81 152 155   5 152 127 165 127  88 152 127  81 152]",[155 165  49 155 144 152 155 152]
"[170 119 135 154 170  73 135 170 137  69 170 101  69  80 170 168  69 170
  69  92  21  69  17  21  69  92  21  69  37 142  69  17]",[ 92  69  99 142  50  69  92  21]
"[169 124  50  47 162  37  52 165  50  47 172  28  46 172  97 100  50  47
  76  17 172  97  50  47  76  17 169 124  50  47 162  37]",[ 79  46  71  61 161  58  40  79]
"[ 17  42  15 145 172  56 165 172 145  38  15  42 172 145  21  46  11 171
 170  38 162  50 171 145  56 165 172 145  38  15  42 172]",[ 21  46  11 171 170  38 162  50]
"[169 145  50  99  11  99  37  15  97 100  18 155 105  61  48 140 152 175
  76 172 170  23 172  21 172 170  44 172  76  38 172 145]",[172  22  46 170  50 113 170 172]
"[ 82  64  55 168 102  55  82 102  55 154  35  79  59  80 144 102  88  80
 102 144  80 102  88  80 102 144  80  59  88  80 139 144]",[ 80  88 122  46 144  38  88  46]
"[ 38  42  80 145  82 172  82 172  56  80  52  56 139 162  38 122   1   2
 146 171  52  28 160 171 145  15 171 126 180 171 145 123]",[145  97 171 145 123  42 145  15]
"[145 172  56  38  81 145  38 145  80 172  56  38  80  10 172  80 172  80
 172   2 122  80 149 172  80 172  80 172  38 142  80  81]",[ 80 172  80 172  38 142  80  81]
"[144  88 144  88  47  58 129 146  47 158  69  29  49 136 159 136 159  10
  29 132  29  49  29 132  29 136  29 144 106 144 129 144]",[  5 132 158 132 144 132 158 132]
"[168  78 162 160   2 162   2 102  12  56 123  38  56  38  82 136  27  12
  27  12  84  78  22  37   2  22   2 168  78 162 160   2]",[  2 102  12  56 123  38  56  38]
"[113  47  89 174 113 180  89  87  15 113  89  89  89  89  89 174 113 180
  16  47 174  44 180  89 174  44 180  89 174  44 180  89]",[ 44  47  25  97 170  39 113  47]
"[ 50   2 180 169  92  46  92 170  50  83  39  83  39  83  39  83  39   7
  22  39  87 170  89 169  37 172  17  22  92  76  99  46]",[ 86 180 169  92  87  92 170  50]
"[ 17  28 172  97 100  50  47  99  17 172  97  50  47  99  17 169 124  50
  47  11  37 169 124  50  47  11  37   5   5  79  79  41]",[79 79 79 79  5  5  5  5]
"[  2 180 135 180  93 135 180  34  34  44 180  91 180  34 136  34 136  43
  33  98  14  43 177  34 136  34 136  43  33  98  14  43]",[ 34  26  34  26  43 135  98  14]
"[136  25 120  60  87 120  25 120  55  90  87  65  55  90  90  87 143  51
  24 156  51 143  51  51 159  49  91 156 159 159  49  60]",[ 91 130   8  60   8  24  58 129]
"[ 92 155  50 170 172  50  17  44  50 145 172  42  17 165  42 169 145  17
 123 145 169 145  17  47 145 170  15  50  17  89  50 169]",[170  50 170 172  97 145  99 145]
"[ 89 172  76  99  21  21 113 170  22  69  46  76  91  52 169  98  22 172
  97  99 170  17  22 169  97  99 145  92  76 170  25  99]",[172  76 170  56 170  46 113  50]
"[ 71  72 120 116 158  90  29 159  29  49  29  49  63 165 124  63 165 124
  81 123  88  47  88 144  88 144  88  47  58 129 146  47]",[ 69  29  49 136 159 136 159  10]
"[  2  98 101 126  98 172 126  22 153 126  21  16  42   2  16  56  42  76
  16  22  42  21  16  99 170  25  99 170  25  99  30  42]",[139  30  52 139  30 170 139  34]
"[ 38 145 102 139  38  68  46 162 169  37 172  17 169  37 145  15  42 123
  17 165  37 100  17 165  37 100  17 165  37 100  17 165]",[ 89 172  17 170  89  99  97  17]
"[160 162 171 169 171  52 170 123 160  52 169 171  11  22 162  56   2  21
 122 153 168 139 122  21   2  56 162  22 171 113 162  22]",[ 20  52 170 126  50 170 171 113]
"[181 145 127  38 181 145  52  56  52 145  52 145  52   2 162  52 126   2
 126  52 162  52 126  52 126  52 162  52 126   2 106 126]",[162  52 126  52 126  52 162  52]
"[171 160  76  56 123 145 171  42  56  38 123 171  38  11 139  38  28 172
  38  17 139  46  28 122  56  17  38  76 165   2  56  28]",[  2 117 122  76 160   2  38 123]
"[171 168  42 171  22  82 170 171  56  67 126 171  76 168 126 169  22 139
  43 126 171  76 171 126   2  76 171 171 160  76   2  99]",[126  22 169   2 126  22 169   2]
"[145  42  46 145  56  17 145  42 145 116  37 145  42 145 120  89 170   8
  50 170  58  89 170 159  50 170  39  89 170  50 170  58]",[169 126 169   8  89 170  50 170]
"[ 17 165  42 145 171 172 162  56  46  38  46 122 139 162  80 168 171 102
 168 145 102  80  56 102  82 172  59 110 145 164 110  42]",[ 35  50 164 145  35  50 164 145]
"[ 17  37  89 151 180  19  47  97  21  46  22  48  46 168  46  22 113  46
  21  80  46 172  47  46   2 142  22 169 180  22  46 142]",[169  37  22  46  21  22 170  92]
"[123 165 126 145  52 180 169  15  76   2  56  43 117 180  97 117 169  56
  15 165  76   2  56  43 117  15 180  97 117 169  56  15]",[ 76   2  56  76  43 180  97 117]
"[156 129  87   1 146  15 146  50  15  50 129  87 148 156 129 156 129  87
   1 146  15 146  50  15  50 148 145  29  29  15 132 160]",[ 17 165  29 152 165  29  15 132]
"[122 102  88  80 122  46  56 136 172  56 172 122  29  38  56 172 171 129
 145 171 145 171 148  38  46 162 172  29 136  10  17  42]",[ 42 136  52 145  42  17 144  17]
"[145  92  76 170  25  99 170 172  76 170  56 170  46 113  50 170  89  46
  46  50 170  89  46  76  47 170 171  92  22  22 170 171]",[ 76  22 180  52 169  92  76  46]
"[ 11  37  89  47 116 120 120  24  33  24  71  37  99 145 169  76  38 143
  51 143 143  55  90  90  55  90  24 159   3 120   3  40]",[ 37  99 145 169  76  38 143  51]
"[ 21  28 139  11  82  28  80  11  82  28  80  11 168  93  80  92 168  28
  21  92 122  28  21  92 122  28  76  92  56  28  76  92]",[ 28 172  92  22  28 172  92  22]
"[180  92 171 126  76 160 171 126  76 160 171 126  76 180 160 126  42  22
  37 126  42  22  37 126  42  76 117   2  76 171 171  76]",[126 171  56 123  21  56 171 171]
"[ 77  37  69  69  77 147 113  89 147  69 147 113 147 147  89 147  84  69
 147 151  44  89 135  44 128 128  89 128 135 151 147 113]",[147  16 147  44 128 128 180 128]
"[157  75 157  75 157  30 157  30  34  30 157  30  34  30 157 153 131 153
 131 153 131  63  17  63  17  63  17  11  81  42  88  50]",[ 50  88  50 161  50 161  50 161]
"[113  30  30 123 128 138 150  44 150 150  23 138  48 138 138 113 168  69
 170  80  69 170 168  69 170 142  78 169  80  78 168 169]",[ 78  59 169 168  69 170  67  69]
"[ 25  44  25  44 172 174  25  44 172 165  63  18  63  18 172 165  63  18
 172 165  63  18 172 165  63  18 172 165   5 155 172  46]",[ 80  59  80  46  50 122  52  80]
"[ 11 105 145  18 162 165 145  18  11 105 145  18 162 165 145  18  11 105
 145  18 162 165 145  18  17 105 145  18 172 165 145  18]",[155  50 100 172 124  50 100  11]
"[ 60  76 172 145 145  91  15  68  89 112  15 124  18 112  15 143  76  15
 162  89 108  15  37  61  99 169 162  87  21  38 156  46]",[144 162 144 172 162  55 162  11]
"[ 65 125  65  79  65 100  65 171  24  86  65  86  58  31  58  46 135  24
  47  97 113  97 113  43 101  43  51  24  51  43  51  24]",[ 24 174  43 101  43  24  43  24]
"[169 104 135 110  59 169  67  67  37 102 169 102  87 102 169 102  37  67
 169 115 110  52  67  89 168 170 168  50 168 170  67  37]",[145 168  99 168 145 142  87  21]
"[ 91 180  34 136  34 136  43  33  98  14  43 177   2 180 177 180 117 139
 135 180 168 180 113  14 142 180 168 168 180  97 176 180]",[ 86 135 176   2 180 135 180  93]
"[126  52 106  28  11 126  52  28  11  12  52 109  52   2  12  52  56  28
  11 162 126  52 171  28  11 126  52  28  11 126  52  28]",[ 15 145  11 180 160  11 123 145]
"[ 37  79 155  47   5  28  47   5  17  47   5  28  47 134 165  15 178  37
  15 178  17  15 178  37  15   5 155  47  28  47  17  47]",[ 47  19  50  19  50 145  25 170]
"[160  92  21 126 169   2  37  92  46 126 169  76  37  92 126 169 117  37
  92 126 169  44  37  92 126 171  76 160  99 126 171  46]",[ 99 170 171 113 160  99 170 171]
"[ 39 160  92  71 113  92  58 160  92   8  50  92 160  92 113  92 120 160
  92  51  50  92  39 160  92  39 180  92 103  37  92  58]",[ 92  37  92 100  11   8  37  11]
