x_test,future
"[120  69   8  16 120  69  39  16 120  69  39 174 159  69  58  69  58  69
  58  69  58 109  51 109  51 109  51  25   8  25   8  25]",[ 25 174  25 174  25 135  88 130]
"[171 177 103 117 160 171 112 103 124  11 164 132 159  56 123  10  42  82
  10  90  12 124  74  11 102  10 112  18 124 112  15  38]",[ 18 124  11 162 146 107 107  18]
"[174  44 180  89  16  44  47  25  97 170  39 113  47  89  86 180  37  87
  47  89  22 113  47  92  78  98  92  92  92  92  92  69]",[ 89 101 180  69 113  89  47  25]
"[126 180 126 180 177 117 180 171 135 180  22 180 113 169  14 180  22  22
  97 180 176 180  45  86 135 176 126 180 135 180  93 135]",[ 34  34 180  44  91 180  34 136]
"[ 50 170 113  50  92  50 170  48  50  92  50 170 155  50  17  50 170  44
  99  17  99 145 165  99  17  99 145 152  99  17  99  76]",[169 145 169  76 152 172 170 172]
"[ 87   3   3  40  40  65  65 143 143 158 158  29  29  53  53  88  88 109
 109  12  12   1   1  68  68   3   3  30  30  64  64  64]",[64 64 64 64 64 64 64 64]
"[ 89  16  47  44  89  89 174 180  44  89  89  87  15  44  89  89  89  89
  89  89  89  89 174 180  44  89  16  47 174 180  44  89]",[174 180  44  89  89 174 180  44]
"[136  92 176 135  36  78  36  78  43 103  43 103 180 180  43 117  43 117
  36 113  43 117  36 113 180 180 180  98  57  98  57  43]",[ 98  57  43 117 180 180 180 126]
"[104  61  67  61  95  67 151  95 137 133  67  67  89 101  95 137 151  67
  67 151  95 137 151  67  73 151  95 154 151  95  67 151]",[ 73 151  67  67  97  95  73  61]
"[180  84 180   5  47   5  47  77  37  77  37  79  65  79  65  75  55 156
  24  38  21  38  76  60  76 172 145 145  91  15  68  89]",[ 15 124  18 112  15 143  76  15]
"[ 56  93 123  92 123  93 123  92 123  93 123  92 123 162  93 123  22  28
 123 162  93 180  11 180   2  93 180  11 180 171  93 123]",[123 162  93 123 160 123  22  93]
"[  9 113  35 104 149  35 110 113  67 149  80 113 122 149 168 113  87 147
 102 117  87 160  59 100  75  37  67  97 143  99 164 113]",[ 92 154 100  26  37 104 117 174]
"[170  93  52 171  93  22  76 107  22 160  76  56 160   2  21  30  21 123
  21 123  30 123 123  30 123 123 150  30 122 123  21   2]",[  2 131  56 123  76  22 123 150]
"[ 42 145 171 124 160  42   2 145  52  38  28  42  21 145  52 122  28  42
 126  52  28  11 126  52  28  11  42  52  28  11  42  52]",[28 11 42 52 28 92 42 52]
"[ 52 126   2 126  52 162  52 126  52 126  52 162  52 126   2 106 126  52
 162  52 126  52 126  52 162  52 126   2 124 160 171 170]",[171 170  22  89 170  42 171 170]
"[ 76 169  50  37 169  22  17 169  50  92 169  76 180  22 169  22  46  89
 172 170 172  22 170  50  92 170  76 169 126 180 169  46]",[170 113 171  46 171 170 113 171]
"[ 22  78 177 160  76 125  42  22 125  42 116  24  21  51  38  24  51  61
 156  78 177 176 138 123  36  76 180  22 178 176  43 176]",[112  50  68  15  68 126  68 180]
"[ 62  62  62  56  62  62  62 171  62 136  62 171  62 136  62 171 127 136
 136 136 136 136 136 136 136 136 136 136 171 136 136 136]",[136 136 136  22 136 136 136 171]
"[ 30 125 157 176  43  30  16 177  94 150 150 157  30 157  30  39  56 161
  42 103   8 157  30 150 177 138 150 177 160 125  76  42]",[125  42  30  43  21 170  99   2]
"[ 92  28  92  28  92  42  92  28  92  52 131  28  92  42  92  28  52  92
 131  28  92  42  92  28 153  93 113 123 113  93 113  93]",[123 113  93 153 113  93 113 123]
"[ 89  92  89  46  50 172  99 155  47   2  28  47  46  17  50  76 100  47
  37  47  22  92  99  76  18  97  15  97  22  37  99  76]",[ 97  17  97 172  89  92  56 105]
"[ 30  30  39 174 174 174 103 174 174 174 103  68 125  68 120 125  68  75
 120 125  68 125 120  75  68 125 120  98  36  98  71  36]",[ 36  71  25 174  25   8 174  25]
"[ 24 156  24 129 100 129  58 156  97  40 143 170  47 156  24 156  24 148
  68 144  68  71 136 159  80 136  49  82 112 112 179 139]",[122  38 146 132 160  11 145 171]
"[154 151 151  97  61  61  73  61 137  61  61  95 151 133  97 133 164 104
  73  67 104  80 133  67  21  80  76  21 172  76 170 172]",[170 172  76  99 170 172 151  76]
"[145 169  22  50  92 155  50 170 172  50  17  44  50 145 172  42  17 165
  42 169 145  17 123 145 169 145  17  47 145  52  15  50]",[ 28  50 145 100  50  11  50  52]
"[ 11   2 177  43 126 111  43  22 126  76  43 126   2  98 101 126  98 172
 126  22 153 126  21  16  42   2  16  56  42  76  16  22]",[ 21  16  99 170  25  99 170  25]
"[ 37  24  86  40  55  86 100  97  37  55 100  89  37  24 100 180  37  91
  93 180  28 151   6  89  89  89  89  89  16  87  25 174]",[ 44 113  89  25  44  97  89  16]
"[ 46  16  46  50  46  57 169  99 169  84  99  76  18 162  99  76 162 134
  76  46  99  76 170  44  99  89  17  50  92 126  99 120]",[ 50 120  16 120  50  39  47 170]
"[139 160 162 124 102  11 162 124 102  11  38  15 164 145  38  15 164 145
 162 124 102  11 162 124 102  11 146  90  90 146 132 146]",[146 132 103 132  94 132 103 132]
"[ 92 113  37 100 180  57  14  78  14  78  14  78  14  78  14  78  14  78
 135  78  56  22 169 126 169  22  56   2 142  90  51 176]",[ 37 171 160 126 180  99  97 160]
"[  6 130 147 119  98  15 143 178  34 143  34 178 143  44  65  92  89  99
 119 130  17   6 135  53  69 113  16  69 130  16  69  87]",[113   6 147 130 119  65 147  76]
"[160  52  28 171  15 172 180 123 124  11  17  42 126 145 160  52  28 171
  15  52  28 171  15 172 180 171  15 172 180 162  47 172]",[162  47  76  97 162  47  76  97]
"[ 29  56 172 171 129 145 171  38 148  46 162 172  29 136  10  17  42  52
 136 145  42  17 144  17  96 160 112  11  50  52  96 145]",[ 11 173  42  10  17  10  37  42]
"[ 56  42   2 126  21 170 142 169 139 171 168  22 102 162  82  56 110   2
 164  38  59  46  82  56 102 162  80 172 139 171 122  52]",[145  46  50  56  42 162  11 172]
"[104  44 151 110 151 110 120 113 101 147  53   6 130 147 119  58  57   6
 130 119  65 156  18  98  98 156  98  97 143 104  44  65]",[ 91  69  65 143 179 113  65 147]
"[135 177 171 127 125 150 125 150 125 150 125 150 125 150 171 150 125 150
  22 150  16 150 171 150 125 150  22 105  94  32  94  32]",[ 32  94  32  94  32 171  32  94]
"[156  46  38 181 117 162  56  18  46 136 159 165 136  37 165  37 143  98
  53  25 143  25 143  98 148  29 165  29  37 165  37 143]",[ 53  25 143  25 143  98 148  29]
"[180 171 145 123  42 145  97 171 145 123  42 145  15 172 126  97  99 126
 180 172 126 160  99 126  97 171 171 123 145 171 180  38]",[ 15 145 171 123  56 172 180 171]
"[ 29 172 162 145 116  56 162 172 132 116  56  70 106  70 106  70 106 158
  71 158  71  72  71  71 158  71  29 159  29  49  29  49]",[ 52 168  50 102 169 168 102 164]
"[145  92 145  42  46 145  56  17 145  42 145  56  37 145  42 148 145  89
  56  50  46  17 143  50  21  15  38  50  21  37 142  50]",[47 50 89 50 80 89 50 21]
"[180 123 124  11  17  42 126 145 160  52  28 171  15 172 180 123 124  11
  17  42 126 145 160  52  28 171  15  52  28 171  15 172]",[171  15 172 180 162  47 172  15]
"[159 158  90  49  51 132 120  49  51  17 165  25  60  98 127 165  25 155
  25 159  49  58  60   8  24  71  16 120  49 116  16 120]",[ 51  55  39   3 159  55  39  49]
"[ 95  67 151  95 137 133  67  67  89 101  95 137 151  67  67 151  95 137
 151  67  73 151  95 154 151  95  67 151  95  73 151  67]",[97 95 73 61 67 67 61 95]
"[162  37  76 142 169  21 135   2  46 169  76  76  37 162 169 162  87 162
 169 162  37  76 169 115   2  52  76  89  22 170  22  50]",[170  76  37  22 145  22  99  22]
"[135  88 135  88 135  88 136  17 172  82 145 123 127  47 155 123 127 124
 181  89  44  15  18  47 155 136  47  15 136  28 160  17]",[129  42  50  15 145  47  52 123]
"[ 60  40  60  40  60  40 100  40  47 100  47  60  40  47 100  60  40  60
  93  40  18  60 155 156 105 156 100 105 100  55 156  24]",[156  55 156  65 156 105 156 100]
"[124  12  17 124  17  12   1  12   1  12 124  12  17 124  17  12   1  12
   1  40 100  40  47 100  47  60  40  55  60  40  60  40]",[ 40 100  40  47 100  47  60  40]
"[ 22 171  20  52 170 126  50 170 171 113  20 162  46 162  46  21  46  21
 122 139  92 102 168 139  20 122  21   2  46  21 139  92]",[168 139 162 125 122  21   2  46]
"[126 170  21   2  17 126 170   2  46  92  50 170 168  21  92  50 170 168
  59  92  50 170  59 104  17  99 170 104 137  37  92  50]",[ 95  37  92 145  95  89  92 170]
"[  2 180 177 117 180 135 139 180 168 113 180  14 142 180 168 168 180  97
 176 180  45  86 135 176   2 180 135 180  93 135 180  34]",[ 44 180  91 180  34 136  34 136]
"[114  43  89 174 114  43  89 174 114  89 171 174  22 171  89  24 156  76
 125  89 174  76 125  89 174 122 125 123 125  30 122  25]",[ 25 128  16 113 168 138 125  89]
"[117 139   2  76  76 177   2  76 171  76  67 117 110  67 139 139  67 139
   2 139  82 123 104  82 139 139 150  82 139  21 139 110]",[154 110 168 168  45 110 168 142]
"[ 34 100 145  37 136  37  22 169 109  37  56 169  34  37  38 169 136  37
 168 169 147   8 147   8 147   8  26  58  26  58  26  58]",[159 115 159 115 159 147  39 147]
"[158 100 139 117 158 165 139 113 158 124 139  97 158 123 139  47 158 180
 139  15 158  71  71  71  71  71  71 177  33 177  33  84]",[ 86  33 177 180 135  57  84 180]
"[165 113  97  47 168  15  80 142  59 156  67 156 168  80 174 142  21  38
  17  46  76  22  24 172 169  46 156  76  22 151  44 100]",[113  97  47 168  15  80 142  59]
"[  8  43  89  43  89 138   8  34  89  34  89  66   8  43  89  43  89  43
   8  44  66  44  66   8  43  44  43  44 138   8  34  44]",[44 66  8 43 44 43 44 26]
"[ 50 160 126 171 176  71 176  71 176  71 176  71 176  71 176  71 158  44
 139  93 158 100 139 117 158 165 139 113 158 124 139  97]",[123 139  47 158 180 139  15 158]
"[ 51  55  90  55  90 158  39 158  39  72  39  39 158  39  29 159  29  49
  29  49  38  42  21  17 122  50  21 122 102  52 168 102]",[162  59 160  82 102 171  82 102]
"[ 38  21  99 172  99  76 172  97  76 172  99  76 171  99 162 172  99  76
 172  97  76 172  99  76 162  99  46  76 101   2 122 151]",[162  99  46  76  99   2 122  99]
"[ 69  16  91  44  89  69 113  89  25  97  89 126  69 113 113  19 165  96
 117 165  42 106 120  52  10 136 160  42 148  11  17  29]",[ 42 145 172  56  49  38 144  88]
"[ 32 157  32  76  32  43  32  43  32  43  32  43  32  43  32  76  18  91
  49  56  49  29  49  29  49  29  49  29  56  49  29  49]",[18 29 49 56 18 29 49 56]
"[ 89 111  66  67  89  82  67  66  67  89 102 104  13 102 104  89 102  67
  97 142  61  97  67  61 142  97  67  61 168 123 139  30]",[ 21 123 142 113 168 142  98 168]
"[ 89 169 170 126  92  50  99  92  99  50 126  37  50 126 145  92 126 145
 170 145 170  52  47 170  52 169  92  52 169 171 169 171]",[180  22 171 169  92 171  22  76]
"[ 97  17 165  89  44  42 123 170  89  42 123 160 117  89  44 123 127  50
  47 145  15  50  47  11 124 160 117  15  18  99  97 145]",[ 99  97  37 100  15  18  97 105]
"[139 168 176 139 168  67 102  67  59  97  82  59 164  60  59 164  35 164
  35 154 124  35 154  73  55 154  73  73  95 113  95  24]",[117  95 174 137   9 154 104 110]
"[ 99 178  26 178  26 178  26 178  26  22  36  92 136  87  87 170  89 169
  37 172  17 162  11  76  99  46  50   2 180 169 126  46]",[170  50  83  39  83  39  83  39]
"[ 38  42 171   2  99 171  46  11 171  56  17  42 172  56  15 165  15  17
 171  50 171  38  15 165  15  11 172  42 172  56  56  17]",[ 42  80 145  82 172  82 172  56]
"[165 136 136 136  17 165 136 136 136  49 172  46 165  88  88  88 136 129
 165 172 144  88 172  29  49 145  49  29  42 171  18 132]",[ 15 146  18  68  94 148  11 146]
"[165  15 140  17  15  99  15 143  11  15 155  47   5  28  47   5  99  47
   5  28  47  79  37  47  99  47  55  11  47  79  37  47]",[155  47   5  28  47   5  99  47]
"[ 46 113  50 170  22  50   2  57 126 166  52  22 126 170 113  21  52 122
 170 113  21   2 180 126 153  52  22 126 102 181 162  70]",[122 162 102 181 162  56 142 162]
"[ 92   2  93  11 162  28  11 102  28  11 139  28  11  21  93  11 139  28
  11  82  28  11  80  28  11 168  93  92 122  28  92 168]",[122  92 168  28 122  92  56  93]
"[ 60   5  60  50  47  50  47 129  55 129  55 129  55 129  55 129  55 129
  55 143 130  55 129  55 129  55 129  55 129  55 129  60]",[130  60 130  60 129  55  60 144]
"[ 58  59  67  37 102 169 102  87 102 169 102  37  67 169 135 169 110  67
  37 102 169 102  87 102 169 102  37  67 169 115  52 110]",[ 89 168 170 168  50 168 170  67]
"[ 19  19  19  21  19  19  21  19  19  38  19  19  21  19  19 142  19  19
  80  19  19 151 151 142  21 142 142  77  77 142 134 134]",[63 38 63 21 87 87 87 87]
"[ 56  17  21  50  18  15  38  11  46  15  56 160 162 172  42 165  15  17
  15  42 172 140 162  76  46  38 122 139  80 102  67  59]",[146  33  25  71 146  33  25  71]
"[  5  47   5  47  77  47 100  47  47  47  47  47  47  47  47 169  47  47
  47  22  46  50 169 100  22  46  50 169 100  22  46  50]",[155 172  46  50 169 100  22   2]
"[ 42  11 117 126 171 162 160 126 171  52 126  52 162 113 170  50  22  92
 170  50  46 171 170   2 180  92 122  21   2  56 162  22]",[170  52  93  22 171  52 123 170]
"[148  65 119 130 141   8  89 141 147 130 119  65 147  91  44  86 101  53
   6 130  69 113  16  69 130 119 163 111  59 148   0 119]",[118   0  53  69  98  77  98  55]
"[105  95 154 164  67 156 142  38 156  76  59  55 154 104 102 100 142  21
 100 162  59 155  73 104  59  87  80  21  87  46  82  49]",[154  82 165  80 142 165  56 104]
"[ 61  51 154  79  58 154  61  51 154  79  58 154  61  51 154  79  58 154
  61  51 154  79  58 154  61  61  67  76 142 169  38 145]",[ 99 169  37 145  15  99  97  37]
"[ 55  40  55  40 165 165 165 173 165   7 165  81  47   5  47   5  47   5
  47 123  79 124 113 124 100  93 100 108  18 108  18  93]",[100 165 143 124  47  10 123  97]
"[177 103 146  76 116 162  22 146 116 112 120 112 120 112 120 112 120 112
 120  10 116  96  90 136 159  96  90  10 116 126  68  33]",[126  33  10  96  52  10  96  10]
"[ 92  11  42  11  11  11 159  28  11 159 159 159  28  11 159 159  39  37
  51  11  90  11  11  92  11  99  11  11  11  90  17 120]",[ 51 145 145  71  11  99  50  99]
"[ 55 172 156 169 101 171  25  25 151  25  97 165  97  89  17  99 165  97
  97  47  98 151  25  63 179  60  77  55  16  78  27 176]",[140  49  25  67   6  82  69  69]
"[170 123  42  11  92  93  22 171  52 123 170 126  42  11  92  11 117  50
 170 162  47 170  50 170 123  42  11  42 113  52  22  56]",[ 22  52 170  52 145 126 124  28]
"[ 42 145  17 172 126 124  11 126  17 172 126 124  11 126 160 171 171  15
  42 171 160  56  52 165 126  52  17  56 171 117 145 171]",[ 56 171 160 145 171  11 162 169]
"[ 59  11  59  11 148  11  11  46 148  46  11  46  11  46  87  21  11  38
  46  11  21  46  87  46  11  46  11  59  87  59  11  59]",[ 46 129 170  56 129 170  46 129]
"[180 160  45 160  45  37  45 160  43 160 117 160 117  17 117 100 101  92
 117 117 111 126 117 145 165 169  76  38 101 142 113  67]",[111 125 180 125 133 125 133 146]
"[ 40 129 129  55 129  55 129  55 129  55  12 107  12 107  12 107  12 107
  12 107  12 107 129  55 130  60 120 129  40  71   5 120]",[129 120  79  55  79  55  79 100]
"[ 29 109 131 109 131 109 131  69 144  34 118 162  55  55  40  55  40 165
 165 165 173 165   7 165  81  47   5  47   5  47   5  47]",[ 79 124 113 124 100  93 100 108]
"[  2  46  92  50 170 168  21  92  50 170 168  59  92  50 170  59 104  17
  99 170 104 137  37  92  50 137  95  37  92 145  95  89]",[170  89  17 170 137 113  50 170]
"[ 52  28 145  15  50  47  42 123  11 124  17 165  42 145 171 172 162  56
  46  38  46 122 139 162  80 168 171 102 168 145 102  80]",[102  82 172  59 110 145 164 110]
"[180  57  89  28 160  69  11  92 160  28  89 180  57  89  28 160  69  11
  92 160  28  89 180  57  89  44  28  93 160 117  92 113]",[ 97  50  47 126 180 170  89  52]
"[100 156 105 169 100 143 105  76 100 143 105  76 100  24 105  38 100  24
 105  38 100 156 105 142 100 156 105 142 100  61  24  61]",[61 24 61 24 61 24 61 24]
"[162  87 162 169 162  37  76 169 135 169   2  76  37 162 169 162  87 162
 169 162  37  76 169 115  52   2  76  89  22 170  22  50]",[170  76  37  22 145  22  99  22]
"[ 52  99 100  52 162 169  11 100 169 172  52  50 165  52 172 145  42 165
 145 172  47  52  50  52  46  28 172  50 172  56  17  47]",[145 172  38  37 172 145 172 172]
"[102  80 102  80 142 122  38  46  50  52  28  38 145 172  17 172  17 122
  52  46  50  46  50 102 162 139 171 102 162 139 171  80]",[172  17 172  17 142 169  38 145]
"[ 30  30 129 129 158 158 144 144  87  87  64  64 157 157 131 131  30  30
 129 129 158 158 144 144  87  87 149  51  74  33  74  33]",[161 149 161 149 159 149  51 173]
"[ 97  89  16 113  47  89 174 113 180  89  87  15 113  89  89  89  89  89
  51 170 113 180  39  47 174  44 180  89 174  44 180  89]",[ 44 180  89  39 170  44  47 159]
"[ 76  98  22 123  98  76 180  56  98   2  97  21   2  43  56  76 180  56
  76  43  22 171  97  43  22 180  76  43   2 123  56  98]",[180   2  56  98  76  22 123   2]
"[ 52 161  28  11 126  52  12  52 109  52  12  52  34  52 136  28  92 146
  42  52 107  28  92  42  52  28  92  42  52 145  52 126]",[107  28  11 131 126  52 106  28]
"[180  28  11  28 180 171 103 160  11 126  11 160  52 116 160  11 170 160
  11 126 160  11 170 160  11 171 131  11  42 170  42  11]",[ 11  42 170  42  11  52  28  92]
"[ 56  56  17  80  56  80 169  82  80 147  39  69  69  69  69  69  69  69
  69  69  69 174 174 174 174  69  69  69  69 174 174 174]",[174 174 174 174 174 174 174 174]
"[ 80  69 142 170  21 179 170  21 179 170  21 179 170 122 179  52  35 179
  52  35 179  52 154  78 169 142  78 169 142  78 169  80]",[169 119 135 154 169  73 135 169]
"[162  89  76 170  76 179 142 170 142  89  21 170  21  69  46 170 162  89
  76 170  76 179 142 170 142  89  21 170  21  69  46 170]",[ 89  76 170   2 179 172 170 120]
"[180  17  58 180 161  47  17  99  17 161  47  17  99  17  58  47  17 161
  99  17  71  47  17 161  99  17  58 100  79  79  79  79]",[ 76  79  79 162  79  22  79  79]
"[142 142  47  16  21  16 119  97  80 168 102  67  82  59 104  44 151 164
 110 151  59 113 164 147 104  73 137 104 147  59  82  18]",[ 83 137  95 137  83  82  67  89]
"[  8 180  92  58  42 103 117 177 177 177 177 177  56 177 177  76 177 162
 177 177  76 177  76 127  21  76 138 138  22 138 172 138]",[ 22 138  22 105   2 121 121 121]
"[ 30 122 123  21   2 123   2 131  56 123  76  22 123 150 139 150  30 122
 123  21   2 123  56   4 131   4 123   4 123   4 123 123]",[123 123 170 157 171  52 123 170]
"[136  28 160  17 136 129  42  50  15 145  47  52 123 171 124 172 165 162
  56  46  38 122 139  80 102  82  59 164  59  82 102  80]",[122  38  46  56 162 172 171 172]
"[ 44  76 171  76 171   8  76 172   2  22  56  22  56  22   8  56  56  21
  22  56 171  56 169  16  56 171  56 171  76 171  76 171]",[ 76  76   2 170  22  56  21   2]
"[ 14 110 117   9 110  67  67 177 110  67 139 139  67 139   2   2 177 139
   2  76  76   2  76 171  98  14  76 117   2  76 171 171]",[171 126 171  56 123  21  56 171]
"[ 93  22  11 171  47  93  22  92  52 123  93  22  11 171  47  93  22  92
  52  93 123 170  92  93 123 145  92 100 123 126 171 169]",[ 22 171  56  30  30 160 169  30]
"[126  57 180  37  92  37 180  37 180  37  92  37 180 126 127 180  37  92
  37 180  37 180  37  92  18  37  57 180 127 126 181 180]",[ 11 160 180 160 180 160  11 160]
"[113  97  89  16 113  47  89 174 113 180  89  87  15 113  89  89  89  89
  89  51 170 113 180  39  47 174  44 180  89 174  44 180]",[174  44 180  89  39 170  44  47]
"[111 129 157 129  30 129 116 129 111 129 157 129  30 129 116 129 111 129
 157 129  30 129 116 129 111 129 157 129  30 129 116  90]",[158 144  87 129 158 144  87  90]
"[ 37  67 160   3 103   0 103   0 103   0 103   0 103   0 103  79  58  79
  58  58  79  79   8   8  13  13  71  71 140 140 159 159]",[140  58  58  26  26 161 161  70]
"[ 60  40  55  60  40  60  40  60  40 100  40  47 100  47  60  40  47 100
  60  40  60  93  40  18  60 155 156 105 156 100 105 100]",[156  24  55 156  55 156  65 156]
"[124 162 171 171 162  92   2 171 146 162  56 171  62 162  38  52 107 162
   2 153 131 122  38  74 106 126  52 162  52 126   2 162]",[162   2 122 161 124 180  28 161]
"[ 60  44  46  89  55  18 142  15  55  18 142  15  36 152 142 165  36 152
 142 165  50 120  46 172 159  52 172 120  80 122  51  46]",[ 90 162  91  58  76 129 161  46]
"[ 37 162 169 162  38  24  76 169  76  46  28  47  76 172  76  46  17  76
  52  76  46  37 162 169 162 142  11  46 169  46 122  50]",[ 46 172 126  46  80  50  46 172]
"[142 169 142 142 169 142 142 169  87 142 142 169 142 142 169 156 142 142
 169  55 142 142  38  61 142 142 142  67  99  67  67 145]",[164 164 172  73  73  40  73 169]
"[ 35  73   5  35  80 164  10  82  80  73  17  88  35  80  59 144  35  73
   5  35  80 164  10  82  80  73  17  88  80  59  35 144]",[ 73   5  35  73  10 154 164  59]
"[ 11  33 126 169  33  37  92  39 126 169  90  37  92 126 169 103  37  92
 126 169  37  92   2 126 171   2 160  11   2 126 171  38]",[ 11 126 171  18 160  11 126 171]
"[180 135 180 117 135  67 180  82 156 100  97 168 156  97  67  44  97 139
 174  97 114  31  33 168  43 176 176  43 176  43 176  43]",[176 135 176 135 176  66   8  66]
"[ 29 142 180 168 142 168 110  34   9 124 110  82 102 114  27 118 118 124
  27   2  56 162  22 171 172 123  56 172  56  38  29  38]",[  2 169  34 171 117 162 171 162]
"[126  22 169   2 126  76 171  22 126   2 142 139 170   2 171 139  46 171
 139 126   2  22  22   2 142  21  42  22 169  21 162 169]",[ 99  76 171 171  76   2  42  92]
"[ 11  47 126  52  93  28  11  50  52  28  11  50  52  28  11  42  52  28
  11  42  52 181  28  11  42  52  28  92  42  52  28  92]",[126  52   2  28  11  38 126  52]
"[ 22 171 169 170 126 180 170 169 171  84  22  76  46   2  21 142 180 168
 139 142  92  21   2  46  76  22 171  89 169 170 126  92]",[ 99  92  99  50 126  37  50 126]
"[171  92  97 170  47 171 180  92 126  52  92 126 170 117 160  11 171 160
  11 126 113 180  28  92  28 180  50  47  89  92 117  89]",[ 22  44  22  33  92 126  52 126]
"[  8  31  31  31  31  31  31  31 154 104  66  31  31  31  31  31  31  31
 142  21  66  31  31  31  31 114 111 104  66  31  31  31]",[169 170  66  45 139 177 168  67]
"[171  92  52  28 170  92 145  93  22  28 109 161 109 161 109 161 109 161
 109 161 109 161 109 161 109 131 109 131 109 131 109 131]",[131 109 131 109 131 109 131 109]
"[ 60  25  60  80 179  51 139 122  33 139 161 122 159 122 173 173  29 131
  29 131  29 131 171  46 106  56  38 106  46  64  30  64]",[173 131 173 173 173 173 173 173]
"[160  11 162  11 145 126 161 180  28  11  28 180  42  18 123  28  92  28
 123  52  57  28  11 126  11  28  11  28  11 126  11  28]",[127  28  92 145  92  28 171  92]
"[162  52 126 171 160 126  11 126  11 160  52 123  28  92  42  92  28  92
  28  92  42  92  28 127  52 123  11 160 170  11 160  22]",[ 42  11 171  89  42  11  52 131]
"[145  56  37 145  42 145  37  46 145  56  42 162 145  22  37 145  42 145
 153  28 145  42 145 153  28 145  42 153 145 106  28  50]",[106  50   4  28  42  92   4  42]
"[146 148  11  56 165  49  49  15 129 172 165 136 136 136  17 165 136 136
 136  49 172  46 165  88  88  88 136 129 165 172 144  88]",[ 29  49 145  49  29  42 171  18]
"[129 129   0  41  79  40  79  40  61 100  37 100  79  37 100  37 100  37
 100 129 100  37 100  41  37 100  37  79  79 100  37 100]",[175 100 175  79 100 175 100 175]
"[169 136  37 168 169  19   8  19 120  61  58  79  58 132 103 132 103 145
 132 103  50  34 175  15 100  34 175  15 100  34 175  15]",[ 34 175  15 100 136 175  92 100]
"[ 26  26  87 147  87 147 143 134 143 134 125  20 125  20  66  51  66  51
 120 120 167  58 167  58  61  51  61  51  61  61  61  66]",[103 103   8  61  51  61  61  61]
"[ 82  47  59  33  89  37 120  17  92  33  11  99   8  11  99 120  92  99
  39  50 126  51 145 170 120 145 170  33 169 170  51 126]",[120 170 126   8  50  99 120 170]
"[142  37  80  17 174  69 113  92  87  92   5 120  50   5  88   5  50  77
 100  92  77  55  92  77 100  92 101  60  55  55  92 143]",[105  37 156  22  37 151  44  17]
"[ 11 126  33 180 160  11 126  68 126  36 126  68 126  84  34 180  37 136
  92 126  12 180  37  92 126 180  37  92 126  42 126  11]",[ 12 180 160  78  11 126 176 180]
"[ 67   2 110  67  80 122  67  80  67   2 110  67  80  21  67  80   2  67
  21 104  67   2  80  21  67  80  67   2 104  67  80  21]",[ 80  67   2 104  67 168  21  59]
"[ 22  44 172  99 169 172  89  99  69 113  92  87  92   5 120  50   5  88
   5  50  77 100  92  77  55  92  77 100  92 101  60  55]",[ 92 143  76 105  37 156  22  37]
"[135 176  12 176  76 171 126  99 126 171  76   2 139 159  39  50  47 126
 180  92 113  37 100 180  57  14  78  14  78  14  78  14]",[ 14  78  14  78 135  78  56  22]
"[ 51 143  90  25 159  79   8  24  71 102   8 120 102 116 169  22  56  38
 116 142 168 116  82 154  71 164  82 168 142  38  56  22]",[169 162  21 142 120 102 104 120]
"[151 151  76  22 172 169  97 170  97 145  50  97  99  97  92  17  97  92
  99  76 165  22 172 169  97 170  97 145  50  97  99  97]",[17 97 92 99 17 92 99 17]
"[ 87 113 165 113 147  47  97 113 151  89 171 103  76 103  38  21 103 142
 103 139  76  91  91  25 151  25  61  61 151  44 100 165]",[ 97  47 168  15  80 142  59 156]
"[168 139 142  21   2 180 142  21   2  84  46  76  22 171 170  52  57  22
 171  52 180 170 126  42  11  92  11 117 126 171 162 160]",[171  52 126  52 170 127 162  22]
"[ 50  37 169  22  17 169  50  92 169 172  99 170  99 170 169  97 145  92
 145  25  99  17  37  89 151 180  19  47  97  21  46  22]",[ 46 168  46  22 113  46  21  80]
"[ 99 105  17 152  92  48  99 105 150 127 127 127 127 150 127 150 150 150
 150 116 116 116 116 150 116 150 150 150 159 159 159 159]",[159 159 159 159 159   5   5  60]
"[ 52  42  52  22  52  42  56  37 124 169 126 162 160 171 126 171 180 126
  11 126  97  99 160  52 123  28  92  42  92  28  92  28]",[ 42  92  28 127  52 123  11 160]
"[106 106  35  11 106 106 122  11 129 129 168  42 102  50  70  70  82  49
  63  63  59 144   5   5 164 131  59 106  70  70  82  53]",[10 82 53 10 10 10 10 10]
"[ 46   2 142  22 169 180  22  46 142  22 169  37  22  46  21  22 170  92
  22  46  21 172 170  50 172  76   2 172 126  44 172  22]",[169 126 100 169  22  46 169  50]
"[180 160  11 160 180 160 180 160  11 160 180 171  94 160  94  11  94  50
  94  11 160  94  11  94 160  94  11  94  50  11  23 160]",[  8  11  42 171  42  11  42  44]
"[ 92  56  39 123  92  28  92 122  39 123  92 105  97 159 180  97 103 160
  97 161  17  97   8 127 123 116  89 123  90 160 123 103]",[123 161  93 123  92  28 123  28]
"[ 65 143 179 113  65 147 101  53   6 147  46  76  47  16  22  16  22 119
  97 130   6  53 163 130 104  44 151 164 110 151 110 120]",[101 147  53   6 130 147 119  98]
"[ 71  60   8 132 103 174 159 158  90  49  51 132 120  49  51  17 165  25
  60  98 127 165  25 155  25 159  49  58  60   8  24  71]",[120  49 116  16 120  49  51  55]
